Reference,Qty,Description,Value,Manufacturer Part Number,Manufacturer
C1,1,CAP 10nF ±10% 16V X7R 0603,10nF,0603YC103KAT2A,KYOCERA AVX
C2,1,CAP 100nF ±10% 50V X7R 0603,100nF,CL10B104KB8NNNC,Samsung
C3,1,CAP 10nF ±10% 16V X7R 0603,10nF,0603YC103KAT2A,KYOCERA AVX
C4,1,CAP 100nF ±10% 50V X7R 0603,100nF,CL10B104KB8NNNC,Samsung
C5,1,CAP 10nF ±10% 16V X7R 0603,10nF,0603YC103KAT2A,KYOCERA AVX
C6,1,CAP 100nF ±10% 50V X7R 0603,100nF,CL10B104KB8NNNC,Samsung
C7,1,CAP 2.2uF ±10% 25V X7R 0805,2.2uF,CL21B225KAFNNNE,Samsung
C8,1,CAP 3.3nF ±20% 50V X7R 0603,3.3nF,CL10B332MB8NNNC,Samsung
C9,1,CAP 3.3nF ±20% 50V X7R 0603,3.3nF,CL10B332MB8NNNC,Samsung
C10,1,CAP 10nF ±10% 16V X7R 0603,10nF,0603YC103KAT2A,KYOCERA AVX
C11,1,CAP 2.2uF ±10% 25V X7R 0805,2.2uF,CL21B225KAFNNNE,Samsung
C12,1,CAP 100nF ±10% 50V X7R 0603,100nF,CL10B104KB8NNNC,Samsung
C13,1,CAP 10uF ±10% 16V X7R 0805,10uF,CL21B106KOQNNNG,Samsung
C14,1,CAP 2.2uF ±10% 25V X7R 0805,2.2uF,CL21B225KAFNNNE,Samsung
C15,1,CAP 2.2uF ±10% 25V X7R 0805,2.2uF,CL21B225KAFNNNE,Samsung
C16,1,CAP 100nF ±10% 50V X7R 0603,100nF,CL10B104KB8NNNC,Samsung
C17,1,CAP 4.7uF ±10% 50V X7R 1206,4.7uF,CL31B475KBHNNNE,Samsung
C18,1,CAP 100nF ±10% 50V X7R 0603,100nF,CL10B104KB8NNNC,Samsung
C19,1,CAP 4.7uF ±10% 50V X7R 1206,4.7uF,CL31B475KBHNNNE,Samsung
C20,1,CAP 100nF ±10% 50V X7R 0603,100nF,CL10B104KB8NNNC,Samsung
C21,1,CAP 4.7uF ±10% 50V X7R 1206,4.7uF,CL31B475KBHNNNE,Samsung
C22,1,CAP 100nF ±10% 50V X7R 0603,100nF,CL10B104KB8NNNC,Samsung
C23,1,CAP 4.7uF ±10% 50V X7R 1206,4.7uF,CL31B475KBHNNNE,Samsung
C24,1,CAP 22uF ±10% 25V X7R 1210,22uF,CL32B105KAFNNNE,Samsung
C25,1,CAP 22uF ±10% 25V X7R 1210,22uF,CL32B105KAFNNNE,Samsung
C26,1,CAP 4.7uF ±10% 50V X7R 1206,4.7uF,CL31B475KBHNNNE,Samsung
C27,1,CAP 10nF ±10% 16V X7R 0603,10nF,0603YC103KAT2A,KYOCERA AVX
C29,1,CAP 22uF ±10% 25V X7R 1210,22uF,CL32B105KAFNNNE,Samsung
