"Reference","Qty","Description","Value","Manufacturer Part Number","Manufacturer"
"C1,C3,C5,C10,C27","5","CAP 10nF ±10% 16V X7R 0603","10nF","0603YC103KAT2A","KYOCERA AVX"
"C2,C4,C6,C12,C16,C18,C20,C28,C31,C32,C34,C35","12","CAP 100nF ±10% 50V X7R 0603","100nF","CL10B104KB8NNNC","Samsung"
"C7,C11,C14,C15,C33,C36","6","CAP 2.2uF ±10% 25V X7R 0805","2.2uF","CL21B225KAFNNNE","Samsung"
"C8,C9","2","CAP 3.3nF ±20% 50V X7R 0603","3.3nF","CL10B332MB8NNNC","Samsung"
"C13","1","CAP 10uF ±10% 16V X7R 0805","10uF","CL21B106KOQNNNG","Samsung"
"C17,C19,C21,C23,C26","5","CAP 4.7uF ±10% 50V X7R 1206","4.7uF","CL31B475KBHNNNE","Samsung"
"C24,C25,C29,C30","4","CAP 22uF ±10% 25V X7R 1210","22uF","CL32B105KAFNNNE","Samsung"
"D1","1","Schottky diode 50V Vr 3A If 0.31V@2.5A SMA","VSSAF5N50-M3/6B","VSSAF5N50-M3/6B","Vishay"
"F1","1","SMD Fuse 0.5A 63VDC","SF-1206S050-2","SF-1206S050-2","Bourns"
"J1","1","Pin Header 1x5 2.54mm RM Straight THT","61300511121","61300511121","Wuerth Elektronik"
"J2,J3","2","JST PH Series 01x06 Angled THT","S6B-PH-K-S","S6B-PH-K-S","JST"
"J4,Y1","2","HCMOS Clock Oscillator","Boxed_Header_02x03_SMT,XO32","",""
"K1","1","Relay DPDT 2A Contact Current 12V Coil Voltage","AGQ200A12Z","AGQ200A12Z","Panasonic"
"L1,L2,L3,L4","4","Shielded Inductor 10uH 20% 0.65A Irat 0.125A Isat@-30%","10uH","74479777310","Wurrth Elektronik"
"Q1,Q2","2","MOSFET N-Channel 0.17A Id 100V Uds 2.0V Uth 10Ω RDSon","BSS123","BSS123","Diodes"
"R1,R4","2","RES 470R 1% 0.1W 0603","470R","RC0603FR-07470RL","Yageo"
"R2","1","RES 34K 1% 0.1W 0603","34K","RC0603FR-0734KL","Yageo"
"R3,R8,R16,R17,R18,R19,R21,R26,R34,R38,R39","11","RES 10K 1% 0.1W 0603","10K","RC0603FR-0710KL","Yageo"
"R5,R20","2","RES 14K3 1% 0.1W 0603,RES 2K 1% 0.1W 0603","14K3,2K","RC0603FR-0714K3L","Yageo"
"R9,R10,R11,R12,R22,R23,R24,R25,R27,R28,R29,R30","12","RES 1M 1% 0.1W 0603","1M","RC0603FR-071ML","Yageo"
"R13,R14,R15","3","RES 0R 0603","0R","RC0603FR-070RL","Yageo"
"R31","1","RES 21K 1% 0.1W 0603","21K","RC0603FR-0721KL","Yageo"
"R32","1","RES 13K7 1% 0.1W 0603","13K7","RC0603FR-0713K7L","Yageo"
"R33","1","Trimme 10k SMT","10K","TC33X-2-103E","Bourns"
"R40","1","RES 1K 1% 0.1W 0603","1K","RC0603FR-071KL","Yageo"
"S1","1","Push button 3.2mm x 3.2mm","434123025826","434123025826","Wuerth Elektronik"
"TP1,TP2,TP3","3","Test Hook Black THT","5001","5001","Keystone Electronics"
"U1","1","I2S DAC Stereo 32bit 384kHz","PCM5100A","PCM5100A","Texas Instruments"
"U2","1","ESP32 WROOM 32 8MB flash","ESP32-WROOM-32U","ESP32-WROOM-32UE-N8","Espressif Systems"
"U3","1","Quad Operational Amplifier","TLV4888DR","TLV4888DR","Texas Instruments"
"U4,U5","2","3V to 36V Input, 1V to 6V Output, 1.5A, Synchronous Buck Converter Power Module","TLVM23615RDNR","TLVM23615RDNR","Texas Instruments"
"U6","1","LDO 150mA 2.5V-20 Uin Adj.","RAA214220","RAA2142204GP3#JA0","Renesas"
